	X1489	X2590	X2529	X1105	X1785	X2290	X1428	X1923	X1563	X1430	X1466	X1552	X1467	X2432	X1321	X1545	X2288	X1693	X1556	X2267	X2260
AGTRAP	19.652821968	19.759009008	19.73192296	19.952631264	19.581773464	19.294606208	19.5677844467404	19.5429852688479	19.7358743764352	19.508848336	18.910516472	19.84908132	19.757507208	19.848952544	19.393705504	19.75791596	19.613066792	19.69801372	19.583687736	19.464107912	19.951185936
AHCY	20.566330152	20.029874888	19.459756592	19.931378848	20.141452552	19.936997024	19.826991952	19.760656192	19.426869664	19.694175792	20.265531944	20.011142656	19.8263176	19.668128792	20.1108476	19.84628812	19.637773248	19.481468216	19.7467358	20.175136656	20.204219192
AHCYL1	18.835184096	19.242600472	18.953616616	18.6348862	19.301228336	19.101762672	18.965277424	19.39362936	18.547456416	19.069914912	19.746536888	19.260594992	19.138658728	19.09945736	19.263185976	18.917310792	18.891751472	18.832826928	18.858202944	19.0256222	18.848062968
AHNAK	19.224084328	19.513456688	20.143220936	19.587360272	20.488092496	19.921440096	19.25687476	19.725468608	20.082492424	19.813538144	19.935846008	19.92843676	19.612237544	19.881060392	19.61363576	20.008251824	19.902590392	20.207973032	19.76100228	19.668177424	19.618636008
AHSA1	19.814663856	19.02170728	18.985574512	19.336152568	18.826297904	19.43808848	19.274231832	19.19303088	18.906334328	18.99232328	19.088653504	19.164447872	19.6415086	19.066038984	18.929946472	19.062012512	19.02344732	19.120502176	18.879398176	18.919087336	20.044974792
AHSG	20.186816456	19.9846898	20.114812016	20.2111944	20.069931232	19.570934192	19.843755216	20.739191488	20.31711528	20.286996312	20.171849248	20.229186832	20.183700896	19.9956734	20.581569128	19.62915996	19.713336552	20.472119176	20.467207832	21.192258784	19.735749192
AIDA	17.755224144	17.873482224	18.072056752	17.822382304	18.03380068	18.005468368	17.966393008	18.33752388	18.399852152	18.084365144	17.838446592	17.945909	17.911248936	18.086738424	17.986860384	17.822524456	17.761011736	18.186484272	18.109597224	17.937610872	18.04976556
AIF1	18.65200156	18.85235408	19.403283128	18.545098048	19.30358328	18.510150536	18.888496864	18.950062384	19.215934488	19.319549752	18.843822712	18.920534768	18.362273632	19.50644664	18.558348288	19.510124784	19.377841272	18.220257712	18.81690348	19.485187904	19.15027876
AIF1L	18.14934964	18.627113304	17.283296928	19.27181136	18.236953568	18.154555592	16.601707984	19.35853456	17.775514064	18.943241304	20.295844296	19.171468136	19.531580096	19.276261744	18.498313976	18.2629167969964	18.5823985832991	18.7027711841982	18.779311208	18.238826672	19.386268216
AIFM1	19.131998816	19.411825464	19.253762048	18.865176176	19.018640688	19.211786344	19.26726736	18.779647536	18.872654168	18.836579424	19.339577496	19.199290608	18.671072648	19.531849592	19.64095464	18.933314848	19.195299472	18.901677464	18.874684352	19.016630272	19.136796984
AIMP1	18.843420336	18.772294128	18.813182528	18.686957136	18.760804568	18.88817568	18.646080832	18.700781704	18.589383176	18.545526864	18.746132328	18.635574944	18.620467952	18.868334984	18.549970936	18.55860892	18.591529256	18.84039644	18.576194192	18.688626656	18.641213704
AIMP2	19.229470392	19.162461712	18.89417516	19.130108224	19.045774704	19.270555664	19.022118392	18.980568936	18.831469128	18.699356232	18.968649592	18.823789968	18.861726984	18.96167076	18.951705888	18.559626224	18.893207168	19.071401512	18.634548472	18.769201632	18.948172472
AIP	18.924812176	18.787923656	18.920777456	18.81205816	18.881788152	18.737716856	18.78981728	18.803526672	18.38743376	19.298839536	19.03977912	18.478437904	18.558089792	18.97558428	18.556917712	18.684089808	18.823441344	18.969854608	18.919674576	18.837790696	18.639998672
