genes	B cells	T4 cells	T8 cells	DC	Granulocytes	MO	NK cells
NAT14	34373927.717523806	17847626.34994468	34031005.95623881	78961625.08937079	86686520.99889342	56534488.03613488	21951287.41731433
NAV1	13070045.207322212	15969508.953911811	20207402.030118994	44202656.887715854	6992653.833127393	4149027.781273764	14358711.116946086
NAXD	459590833.0297446	681040000.1946744	784351874.6431178	393774999.80306673	304483887.18302304	373529166.7001002	336990000.2105345
NAXE	1819914999.317731	2131267500.4353762	2751274998.077916	1775704998.5455446	961892669.9887681	1108835832.9144897	2825500000.2167654
NBAS	1280459665.3090358	1501971388.2849293	1729337497.8740869	2139512501.0730124	700320833.5773271	1944450000.719931	1075055000.555873
NBEAL2	99822750.15408404	2166197694.580766	2357232186.2265463	994917499.4927235	8299291672.488164	8080016664.605878	4139862498.813909
NBN	754841834.1304159	530483332.9299431	839229374.7259895	775128749.3233699	654356666.012093	735526666.6516849	941353750.0905777
NBR1	4020826.0343515812	4691645.2084793635	3881592.863953583	14541618.586024903	48717216.67752115	8839599.480701556	6969372.004395143
NCALD	4193871.191583084	320595020.0987211	884444375.9765949	34480314.33818632	5653045.945858896	11908492.658413999	2760525000.2550163
NCAM1	23892683.686152697	5587157.993539182	45509016.84521263	5718166.077159872	4978455.696897307	2712653.990309155	2468954441.691852
NCAPD2	308059333.52364445	235886888.9628423	164745500.05487397	1907483752.861717	203115983.3083875	784597416.2440281	280708250.43066347
NCAPD3	28792029.6671795	338078335.39905405	580991708.5469589	155324124.89612192	51431498.808344245	30697408.68612714	28261375.00214439
NCAPG	66630042.59729516	66452121.19555959	21910986.64920639	624943374.9361869	25710716.49544977	137562833.5321451	35125749.98581578
NCAPG2	46573466.585156836	24633345.429773916	23583115.997196205	55834951.7285166	40170994.39546507	92376674.97798896	15141512.483504944
NCAPH	157369708.3302	24243940.326151717	8345452.20465797	761916750.9889754	27470974.98697433	106743323.81288213	15925978.104027381
NCAPH2	5919068.103263173	29755396.912721444	53592751.42941878	61300250.041106254	30199090.224967655	13847688.510783667	40478167.7493089
NCBP1	2126512499.4925015	3884350000.428261	4654462492.3196125	2618150000.313663	1334001832.736388	2927974997.174977	3768587501.020227
NCBP2	384986606.1270404	516139722.1107823	538220624.5385833	493058750.10332155	263676666.47825757	379021416.3143104	503192500.4762149
NCBP2AS2	8448583.028453566	43085703.733219266	55377710.250543445	15911261.315019336	6834468.60239808	7429425.716696865	34008218.99110277
NCBP3	634775999.6951491	908043333.4817843	870732500.9524959	564871250.7792097	510599999.9949667	306573249.9692673	906667500.1067623
NCCRP1	6060986.506238461	7164537.4497679025	5522672.500383775	11258884.416079678	6776027.316170885	4578535.931136071	6820682.30827795
NCDN	70271620.80115885	280009472.08332795	283813124.58959895	239202499.896993	57186675.0653112	230622166.65149966	288153749.9919341
NCEH1	514554774.8129587	295043083.40935344	549177499.9011797	459228750.08479595	279324499.8175284	2328141668.2002845	831083749.7320874
NCF1	920335370.574422	4391850.2526682215	1944769.5861103928	670289336.6734298	4397480131.268743	448386688.3594025	5584341.360084904
NCF1B	6365264.53771752	3748215.2314005177	3964118.1574085355	5792110.137033986	92016732.64500761	5211232.941662376	3464580.241442057
NCF2	312574282.21135277	27825029.384509444	48137379.24087018	2763885001.2801695	40855408321.176636	22814666684.641533	26161332.740104552
NCF4	324308333.176102	84796207.72104341	51441970.429175675	1519565001.1991558	11927024998.752764	4348808335.503157	10559516.242303511
NCK1	568492676.6916958	943549999.4454781	1134109375.4328976	694266249.7784655	837943331.9297104	867465000.4367609	1119428751.3082013
NCK2	283859999.82034314	425350166.69417936	397061249.9353425	101894875.08624922	538781083.9216677	169381833.37333238	116538125.15085502
NCKAP1	104560082.26635711	88265897.45774998	93684834.60067055	8003225.0347235175	35943062.43791927	72490839.16040865	57152434.80797878
NCKAP1L	5992022498.032788	5908236111.332645	6276437503.990271	9531100001.413422	10197824992.8357	7612441663.164253	7180987501.816888
NCKAP5L	6775830.959321622	17503665.631004583	26990904.910064712	104635874.9226377	37200173.88019916	82415242.67725593	34352628.29120289
NCKIPSD	6997156.753041685	12444240.189421697	11655507.322405005	18873926.12314263	5238509.090502356	10641596.527668873	7519095.433038611
NCL	656739677.0579433	507623826.2828666	469507115.8076403	413545628.07497805	284497009.60988975	351027125.94816643	528821587.87915707
NCLN	863738083.0890956	1096421945.1434405	1343361874.894435	2694399997.3650475	703740916.6731063	2575766667.0013957	1456126250.8910782
NCOA1	14975133.550215678	123779063.61596805	170357250.06237704	95046624.96018048	185312621.61527944	81635721.93887524	193109250.00545493
NCOA2	166801910.48409793	174532522.89355692	201208437.5956455	113438374.93162751	216392499.98348466	175613499.94554493	212116250.0447422
NCOA3	445753046.41676116	139115055.55042773	177044499.97312364	135609250.0025862	236606408.1207104	158101499.96253905	133254000.0169138
NCOA4	4811027.817987874	7948550.511962516	7971717.067196112	3668080.798782512	57956321.78822928	5291458.094292082	2563442.4162968514
NCOA5	1558500000.7708347	1144230000.1725364	1365390625.461441	926906249.7241889	473758166.4009076	906634999.350019	1331738750.1520844
NCOA6	136546489.97003838	161808472.16636124	172724249.97018388	132166124.95715737	119565697.27289017	190443916.3687019	145850125.12516534
NCOA7	271776012.6864654	456455610.96542525	488396875.22473085	656772499.9473448	171075042.31798235	124817499.93039447	435373750.2433781
NCOR1	70769563.57658117	104609341.26908872	104015499.39380589	94861448.47844854	68890183.95505394	103226226.65286273	114685342.76003371
NCOR2	204453500.01792905	264896944.38360167	381598124.98299956	598051250.6174759	228159999.83459517	449867500.1080473	301955250.25069493
NCR1	15927929.32372185	10873893.466607802	10706935.061710114	8279069.5295830555	8026988.240798626	4692387.123796676	315715517.7764692
NCR2	5620350.705192547	4726685.402834425	3497017.8832776854	4709783.5819097385	4877612.3970025005	5093619.286498186	5496214.265501577
NCR3	5834795.804356056	4754041.957414955	4698579.096029826	3617936.385637989	5611947.812881071	5303693.43377102	46006875.02180953
NCS1	5635432.363873131	4128237.7836200204	3547010.915982993	15456266.460337974	5900168.953003188	8577374.580006981	23030463.47048332
NCSTN	60530040.081085205	263567722.26383173	348169375.1442387	453818749.95528	972420000.4073282	1286624165.2981722	534668750.23697144
NDC1	365231666.3517273	565730111.3466711	538936250.1286659	362952500.347371	160111249.85948536	357827500.10372883	440031250.0041244
NDC80	93252506.42177661	41256374.31406287	36539550.18268346	139909869.41214484	641879173.890486	325371583.41849595	40642258.969280064
NDE1	310931732.9439848	412025000.1191585	413745624.93672895	296449999.6788731	941351666.7336093	237306666.58782533	492200000.08084786
NDFIP1	4859277.261478049	4717815.771434096	4577305.48783771	3269604.8642409304	6532696.806484436	8228195.2758520255	3782541.768268385
NDFIP2	11887063.194353824	5577865.643924651	2761870.74984725	5436562.635429393	4481243.445832816	3455569.1375041367	4351487.050322664
NDOR1	10793739.94057668	52728061.966455445	55144115.22945369	46703641.23090829	52483768.36936506	75840000.07570387	39147211.12457897
NDRG1	865669852.5287766	5308663885.82352	4610374999.289328	6842150001.493252	2391719498.8010836	3052263333.071802	1529113751.525444
NDRG2	8835975.962380426	29851528.523357026	18938276.136202678	535335557.097792	21480317.805048127	11939746.787074894	13593592.817306183
NDRG3	620645833.025918	1631510832.4754357	1619820624.9266095	922023750.9127767	361988083.08150166	668877499.3510373	1389114998.946053
NDST1	21339941.79193625	3047786285.972985	2037855744.079908	170206217.41255978	181887359.9614137	177410117.44382742	428183590.98018134
NDST2	8057743.202418923	34762461.59189846	18445461.055362195	36976124.9805856	16077808.024439871	42033038.86997252	15068473.579836825
NDUFA1	11968998.140236305	16950341.7777185	16914129.77095627	16687966.054024443	61850300.63339233	34951341.72670037	33592794.34640011
NDUFA10	3078555831.9210706	3980475001.8620605	4647287501.486997	3689849998.778259	1457293333.8132105	4447999997.747056	3439149999.5833416
NDUFA11	401319297.36088014	886559721.8281797	1169571249.6182039	626943749.2068521	312105583.3588963	1112914165.9763315	663601250.2192137
NDUFA12	871138332.9720544	1486151666.9675438	2060737497.7897408	1458431249.7101152	550533333.2856532	1874366665.5833566	1943996249.4444592
NDUFA13	1913416667.8371756	3866136111.153945	4425668747.4511175	3493875004.24797	1157114166.5830033	3863241662.938992	3258437501.311058
NDUFA2	1134893808.751661	1557770277.1926756	2101000000.3929834	1320061249.1398952	458900000.06806546	1828657496.672622	1761206252.3556275
NDUFA3	180183905.25845718	308756009.0307072	439396249.9939437	307056250.1700534	21610589.23429573	260591255.61081937	316766249.8923127
NDUFA4	2464958336.103005	2612988889.495359	3337281251.004434	3158487501.9137325	1305029166.31682	3835916668.0425034	2679962499.892792
NDUFA5	1921448335.3514156	4201488886.103279	4711137497.470573	2584124998.9711866	840089999.1743847	3696691668.513199	3369462494.7132893
NDUFA6	1355361665.4977713	1880972777.090922	2472106874.4651694	2360225001.4584093	616995833.6658164	1880125834.1074245	2355712497.984514
NDUFA7	2265516669.9313855	2022419443.9528644	2359104375.938618	2456512500.598721	659985749.6917299	1950633333.2848866	2213299998.4949036
NDUFA8	2255253331.745156	3492975000.0266557	5019906251.343935	3037224996.3700633	1298645834.0755308	3044091668.3969464	3809000002.3930573
NDUFA9	4957499996.906329	7699433333.720306	10605181250.849667	6546375000.827803	2109769164.2897234	8502716663.427104	8116037500.098439
NDUFAB1	117008869.44368255	129770786.77525142	141490197.77576864	166667156.08376542	71040310.86958413	138539460.43101743	126190809.19251038
NDUFAF1	153743469.35503963	87119675.82857493	76797996.51621534	38882376.986467	13964136.614845159	63083178.646123864	55344374.320192195
NDUFAF2	451444999.8168235	323986944.6803018	401997499.95117706	214985124.90168482	70813736.0754031	364426666.5893857	240870000.00079095
NDUFAF3	217257261.31438804	435790784.03863066	718482499.9195063	353910000.00728893	102794004.51169491	198389982.05570826	404033749.83460766
NDUFAF4	549148333.8196009	598359999.7648414	862599999.2403802	648771250.6609471	174333332.92110065	479405833.8399249	863011249.9960088
NDUFAF5	20624286.80160814	22294188.271688353	25176568.666317176	8782934.187923219	32807817.426772356	15773950.807467654	21039257.446399376
NDUFAF6	88555246.10721843	42854610.024836265	80583891.45646703	27891849.516473945	12123592.22216667	26695425.076527346	36686119.49746484
NDUFAF7	88037453.06490627	215244661.3682288	192623062.47279185	183631375.0833253	58851470.37585419	173359333.27606922	145037125.0046689
NDUFAF8	6463226.842246058	9154760.171744207	14542227.535421252	16971817.781480525	5877749.9991378775	5761569.502372645	7581289.850594574
NDUFB1	417695062.92800313	659190555.474461	858906249.7273679	780142500.5845308	186086508.66142693	1006019165.7693182	754548748.7079686
NDUFB10	2708658332.8654957	3074091666.5797434	3630156249.675181	3040625000.733095	821945166.3822346	2192666667.1277137	2810737500.35403
NDUFB11	963054998.9492669	504114722.2815078	714253124.5222377	666457499.229539	168074241.47464868	599135832.837167	534194999.64564115
NDUFB2	217024586.34167466	253179749.982855	282271749.7724449	213728630.75338393	59012777.07025991	393588441.54463154	350756250.5809893
NDUFB3	892486667.0545015	1099721943.595914	1600856251.4604642	1041462502.1540288	479224474.2470862	1063519167.5962585	1332176249.437662
NDUFB4	1174780834.0281289	1909012499.5473065	2793237497.8442373	1559600000.2320924	467324416.36791974	1689461667.6585684	1790366250.1105947
NDUFB5	976593332.5152916	1120654444.3254385	1212523125.039653	1040995000.4797374	243869832.89839387	1185619166.982536	1265183750.8869271
NDUFB6	1422303331.3744843	438292428.7500339	709351250.2287593	498036249.6451601	276247250.15773284	774640833.4341053	695647500.3855752
NDUFB7	724593333.343311	762283333.4578923	757972500.2525622	884449999.8477693	219249822.19742677	330986333.4639378	708755000.7076122
NDUFB8	403995971.86697155	786200277.3558208	1045440625.1738993	745288750.295133	247912354.6429032	1098974999.770183	722891249.9178144
NDUFB9	1859814167.2490559	2491194445.0988393	3501418751.1276464	2570225001.5250325	807632499.4195751	3443399999.447165	2744100000.099853
NDUFC1	106326446.29612215	233784588.6064552	220694750.0972925	210367500.15436724	232580422.1546811	202862761.8428321	152328338.40020922
NDUFC2	800219166.1903907	1519309999.2714972	1496661249.9643412	930788751.1720407	430084615.743815	1075954999.4531622	1209554999.5728078
NDUFC2-KCTD14	800219166.1903907	1519309999.2714972	1496661249.9643412	930788751.1720407	430084615.743815	1075954999.4531622	1209554999.5728078
NDUFS1	8121416671.959778	11355752784.970497	14835499999.596043	9357687485.700523	3603791667.9148097	13065283338.199457	11928287491.147379
NDUFS2	2437799999.421053	4669469442.111741	5632993747.150956	3535162500.4324255	1237761667.1234708	3689483331.1657567	4481087499.5818615
NDUFS3	2331208333.194828	4286213890.26248	6005975000.433388	3637749999.9653063	895238333.8667812	4088574999.0380707	5094224999.124241
NDUFS4	930047499.6201068	1427535277.8561418	1830412500.0867221	1142611249.4151928	445781499.8488405	1540633333.027403	1273241248.9416623
NDUFS5	1427693333.3634546	1418289721.9463458	1709905000.8957555	1471949999.8885367	449451253.3701382	1593710832.5694253	1290963749.7149167
NDUFS6	2434122500.5775814	1777062500.0473058	1812285627.0172029	1980199998.1091058	533779856.1578257	1880166667.3904445	2323637500.18718
NDUFS7	572647250.6625783	1335932777.8523185	2032488750.6430566	818892499.8094716	269779387.7193185	1422543334.6795385	1287685001.6798434
NDUFS8	1336470832.2100732	1714228611.00423	2583743748.5007915	1903725002.1098773	405651250.4327476	2035503334.0186634	2142562501.044769
NDUFV1	3951595831.2966313	5569377781.350625	7554231256.729983	5070262499.06402	1452935001.8758848	4894991667.527024	6853824999.21164
NDUFV2	1979875833.2894115	2754413887.4796734	3462318749.183031	2200375004.6343126	666730833.7982452	2912633334.0329976	3314387495.36364
NDUFV3	399003602.93802047	289082895.91704965	463129586.69699824	469813365.90513766	103529932.61538942	572262081.0669538	432382529.4250456
NECAP1	41819350.060002945	37609882.766238555	63772225.9138498	38426947.38101563	133297069.49087705	96857886.65062101	48803528.22415115
NECAP2	540569666.6502949	1412747777.566429	1210657498.9162908	716230000.5658054	471480650.68745995	1155909166.8057363	835809999.9752855
NECTIN1	5666818.950498532	239176799.7246127	18994394.809513994	53554924.5130624	84762026.6156891	175037855.1666505	23705968.900697276
NECTIN2	3773282.8684252216	5048286.445525755	5868787.42922273	6882729.014305482	5563086.736546802	6218961.392183128	3780046.4366030307
NEDD1	205569865.41380754	275445247.5321915	258517312.37380496	240818749.91237402	205613972.34672955	140526250.02534047	203707500.08186382
NEDD4	99336013.2886696	108425030.60618562	95584187.45479171	200573874.8703162	457040189.8429262	217551333.33325204	77885874.99549301
NEDD4L	9299692.41323703	7001730.775180493	8221529.757039114	9546724.01015488	8007223.576077913	9869239.71896057	4164322.0195813975
NEDD8	281055833.375615	1451401527.016934	1447682499.207903	1030847499.674717	706894623.4031872	1302174165.257489	880827499.6086383
NEDD8-MDP1	979637500.1318997	903324166.9973972	842821249.9866632	1183912500.64738	1231972500.9813032	808841666.8626451	960124999.977613
NEDD9	161146990.97444102	136480138.857264	300744125.25877804	240301250.2123423	454435833.2880407	332384833.3614767	751260000.3603678
NEFH	4302509.211879633	9859218.298506055	9418800.75981652	2753176.992219491	5512336.361763925	20899641.428125065	6724862.098028176
NEFL	12265312.262873368	482768693.2855661	101790888.70940937	45705895.966768496	14721300.849928001	96476220.45144029	49942385.958713695
NEFM	112756719.22838879	23215221.608625293	34229332.48253356	3649051.897067455	4876362.058840911	13902190.873346375	28591544.844319463
NEGR1	4900990.802323382	57751786.35847027	51959236.626758836	86925375.07499728	138615368.1637673	47500734.44929835	30306739.77102667
NEIL1	575251920.5438157	9376253.413466835	18899110.600692213	13792030.319541072	120537264.42690943	16507047.148798885	1079446250.5972052
NEIL2	24299980.504732475	32168930.58215087	50299862.42345455	5789348.355548697	9224261.98633608	3923728.990674985	36199105.073972955
NEK1	80835752.37864114	47423664.16495306	64061250.005291834	79655124.91952422	38151016.24734164	34797280.29231032	63474688.35655562
NEK4	6815170.315535638	11823784.649336018	9860618.914082205	13480077.968954537	4792649.718094108	15941697.089951484	8020131.001745365
NEK6	50404105.582857765	13796712.844922638	17152253.839863874	51721245.06393255	100323636.00510049	19234168.315222926	34793935.11919984
NEK7	734306749.4437861	1494711112.070229	2095582498.4409866	1216942499.8362598	2609737497.286786	1416176666.1238267	1917599998.648532
NEK9	2743461666.5594296	3703922221.5085125	4401862501.838699	4085575006.471907	2816216665.9993196	2990583334.6352024	3416125002.805365
NELFA	1028088333.1919613	1596730555.2149582	1929618752.471951	1209074999.8790042	539011332.630666	995970832.2323433	1511174998.804495
NELFB	1010504166.5158817	1401939166.3415186	1405538124.2631977	1167003749.1805565	698015000.0636848	1074404167.104422	1348520001.4497197
NELFCD	681942916.8068602	1196674721.7446527	1390649999.4059682	901604999.8185742	559883917.1687822	879605833.3439468	1188319997.6628222
NELFE	426605716.6236944	730239166.6468468	818373125.5710654	493021250.2391039	188337515.76438728	393234999.60688645	587881249.9750108
NELL2	15085081.020376397	10491495.370382706	24344677.089193888	114519375.01477283	43350086.50320839	15420060.263481215	17477645.01282462
NEMF	358475832.9668734	534788889.00725293	800339999.7696584	767206249.7918537	267452499.80176795	446748166.9703799	573646249.1915718
NEMP1	103983778.40023263	62293474.89189051	47608137.694952555	55414750.03467321	25323125.139530066	20964692.859536376	33577148.86783106
NENF	122369647.78886688	217341750.08094832	215261437.4287129	730091250.035015	307479416.6218232	481346666.18002796	144499250.14548853
NEPRO	190220000.0014024	221401805.49299976	254645624.74740207	118340124.93395047	100462922.5705574	174286750.0854093	224254249.9508635
NES	6860370.013101544	30480995.653347597	83465555.52321608	32609227.235072106	89203066.37512745	133392570.99876618	9853860.533617174
NEU1	31505084.43108313	39670445.86732958	67896812.54844351	22128645.830374442	94057412.91635452	72053421.46199979	73228500.08392881
NEU3	4215649.688142111	5585016.736985439	3753981.098753109	3993210.237371804	4663375.989978328	6347763.320273283	5104757.25114022
NEURL1	18411516.572541926	20284435.821716875	37970874.53171817	31887374.975191288	25767034.114465173	62106092.99521399	30297685.2395163
NEXN	4987735.701928881	7386353.695872601	3973368.8187991334	6182103.322829459	6230363.9182590945	10269022.202456662	6749724.073739211
NF1	27609282.520555887	274402128.1677498	76671103.39625143	51622347.62650353	144507910.58101732	429460000.5157397	60440003.74602045
NF2	144980572.6263789	122940269.4987825	175678437.47552702	160566000.1291315	94395683.00869162	114159583.37621556	704784876.450318
NFAM1	10984641.990297798	17258539.77357027	19992823.917043287	36764636.21415242	32121529.529194366	108455083.3634106	6499411.4657052
NFAT5	4610387.806874131	44443056.29553075	19306125.35800151	25937188.145698998	100755804.05199468	15210420.865960347	21420737.68875681
NFATC1	821256213.4279207	801290027.7193584	567000624.7927231	219831999.67863917	235470499.93187943	301582416.3193497	138525249.9527033
NFATC2	1172714166.6251433	3690016665.2649927	4835575001.391532	885333750.6471783	692251249.8928293	28922233.37812363	8101262502.9545355
NFATC2IP	188745438.91559473	312231110.9239852	372081875.0936476	323092499.8194027	574245000.6613288	116336250.0354144	390104999.91380984
NFATC3	573506583.8113493	325109277.78790605	485950625.16742516	171128749.99543858	367520000.42545193	137216811.13654563	580184999.7884479
NFE2	5310750.356253288	14471258.556505889	61251304.31536435	27342583.988258768	355118041.5335165	41021948.30180781	15198521.417093541
NFIC	80879593.55253862	570847777.6796017	549639374.9384233	114184625.15533482	223125916.74483606	268267499.94311175	302952499.8648486
NFIL3	35306289.81666591	127914112.49649626	196972292.4817873	116002330.43421617	74693682.64883018	58805814.66730612	99208153.06374961
NFKB1	4954160829.883927	7375377772.609335	7756350000.731303	7833912494.5974655	4087583329.858313	4177958334.112372	5942087494.563057
NFKB2	179729900.08412758	166682674.68061593	133600843.22832727	70033699.24104631	50973342.19349597	49260014.68560093	99354675.56310785
NFKBIA	33769697.94171999	120092224.0280353	56994856.9296464	251081625.16952664	82378855.44152884	65253165.84050947	26303825.4346885
NFKBIB	232282975.02608427	366743055.81048036	434925624.5567342	381851249.8492547	215595691.6998107	190748916.68635812	721682498.659162
NFKBID	18565983.39491042	7224331.594206965	8288949.944532047	40083966.93291403	5157968.2275040075	4612059.950257171	4369482.027468096
NFKBIE	425170833.2283895	97459655.77823776	106506750.08412702	641528749.8458763	167811513.7001634	158452666.700766	77013499.99833241
NFKBIZ	9385325.076562477	7363975.953551696	5311800.99101221	4379179.614684682	7463548.714854405	21447647.695406098	2855142.4645288032
NFRKB	430236666.6321697	518689166.7501723	556280000.0802455	305436875.2331871	259793804.55978963	244645333.25642768	441576250.0459136
NFS1	910342474.3106138	1443898333.6713243	1819866249.1256785	645256249.86172	110149510.27331956	807240000.550981	878380000.3145216
NFU1	305992777.3478186	382157194.66421926	422636874.9110306	274133999.8893382	133024690.33730753	479809999.99514073	413418750.4870423
NFX1	99957791.33564617	42241194.44102382	43544406.275216185	305754749.6434963	37443812.92990426	38818526.18559798	25855750.470562298
NFXL1	301095499.83521706	147770888.94485483	187247625.083915	368926249.59029406	80008364.50728752	98065749.98592098	124972500.17493305
NFYA	357177538.65736115	354768333.3665608	425041249.8199039	301323750.0460058	213791072.78540587	36017518.10760852	472844999.97529346
NFYB	188407218.47625247	261902861.24545082	260890062.66922265	172087124.98084325	111358926.00346823	123954916.78589924	209749750.06525087
NFYC	678271666.4797193	989164444.4886538	1157776250.8735576	633758750.0391393	660117500.4167684	641073334.0199953	980343751.2941067
NGDN	593124166.9204724	661636750.0261055	892871874.5782418	283677499.70197046	145846091.51685286	167785791.73262784	443609999.90525645
NGLY1	695409999.8164741	253301888.77352417	328001874.9676209	1735793750.4710135	297023470.2310359	254533249.80736646	458692500.20789367
NHEJ1	654225062.8073193	737881055.1999013	842208125.3479637	226269499.94163096	199659236.7344704	242626249.92706633	508703750.28832656
NHLRC2	373807916.60130805	291524722.0330801	382327499.97480184	970946251.2867161	618455582.9493328	644985000.2951354	546801249.378673
NHLRC3	10806565.573155137	57310331.542784154	175392500.06275368	46197444.941250265	384619999.75208074	87189583.35286088	254005375.15384823
NHP2	1944651665.7177002	1858663889.031022	2314887496.854741	945854998.2741628	608522666.6429268	482769666.23077697	1478976251.8339233
NHS	113526554.8615098	37311928.92514989	11138150.99586801	6856105.646586197	14993052.408436874	5181824.857427204	4860143.050286055
NHSL2	24110631.711320255	139840290.65703622	250031890.55738539	44083621.20987548	1334196167.480191	298061666.6430203	181807500.1079465
NIBAN1	1296184582.833454	5281397610.393401	5386465376.414015	5004421260.392586	13441241649.047356	4622808331.696392	4783250001.399616
NIBAN2	14665565.301627196	384691619.39092535	492493749.972877	1081746912.2824352	432658832.40689856	3892366671.0252137	36675441.598503165
NIBAN3	2150033311.816261	68283344.58769575	82298668.04757874	5517528635.455141	169965973.15687275	18540325.015517022	86775887.35437001
NID1	7352706.463541955	4682390.492740957	4698917.946857513	6139047.082278373	9095876.765860097	32720464.331447303	4018015.493584965
NID2	6783053.893624358	3853924.7382618967	5164971.752679659	6201003.417353328	4356848.052777159	5314280.995242552	3364033.7137838197
NIF3L1	1412451666.2971864	1805380556.3271737	2169318748.7257843	1610837502.6023912	901842499.0085297	1168715833.261319	1415787501.615111
NIFK	1423725832.2800515	1382716667.2496994	1586954376.2959974	863808748.9751124	174716499.89626738	224534578.8452822	1181952500.212027
NIN	1069135833.5955725	566567638.6164966	681305625.0684028	664983748.9752752	686469166.8789724	254155083.66994235	268928750.01056135
NINJ1	12485035.269474441	9567065.671366198	7441493.749496625	9229992.480090348	211011249.79045847	161000416.77834573	6494224.202205662
NINJ2	24822297.23058154	128998239.50932306	13128606.278487142	17566014.462435264	8142951.7702488825	6443443.307409417	4843055.274752117
NIP7	257039794.5941312	638287221.8684636	809333124.546859	663818750.6826713	52861594.1149352	237783333.13013598	480108750.0597483
NIPA1	9454576.334219368	13524534.23922756	9809613.213511046	7105937.845046289	5356202.290871301	4182055.511853251	6447730.15246476
NIPBL	2028684999.9166203	2386286389.19884	2465656252.389237	2424912502.730876	1408475832.5906498	2436933331.6544514	2539937501.7467227
NIPSNAP1	1306495917.7122247	3220472222.7994847	4444406247.739449	1216098751.7250767	511211830.12207884	838550833.2415959	3144999998.4778104
NIPSNAP2	1317541155.7364671	1347176389.1646934	1301649375.2536042	1771574999.2434576	630564999.3294525	1970350001.4467785	1146756247.9757571
NIPSNAP3A	1475628668.781306	2048894442.9168956	2947731247.8819757	6144912499.601869	5188674998.033694	8033633331.809039	2743991251.5461106
NIPSNAP3B	54917733.83238643	6256130.24130734	5777696.978261363	16851393.108576797	75548582.77207942	6291223.332891538	5759656.375231704
NISCH	314779680.0694665	571560277.778059	668018750.0544782	269340000.1203329	172011416.66263705	260933333.30856538	560757500.5100392
NIT1	1026689697.498339	1323784722.2776797	1485356250.3378105	1613793750.7470777	950530584.073824	1716848332.2041752	1084686249.331452
NIT2	1482032084.0501776	2071505277.1498473	2553918750.7432985	2222537499.423666	1714027500.1091702	2863241665.156621	1930699998.4038832
NKAP	243522416.58421993	158945494.36487952	136840125.0419396	105980500.05704813	98008193.88079454	109569841.60649063	109214914.05907896
NKAPD1	56033986.318068326	14987359.923660688	17564751.59392495	31073928.801805977	21355427.35240339	11056203.885461397	29053298.939709708
NKIRAS2	42568332.465799466	96009723.40080692	105420187.53334866	143641249.97415495	281847500.1786409	189845000.14376965	144478249.98768848
NKRF	578826666.6192762	532729055.6421025	553036249.8561248	400940000.16425544	96915397.40160073	346835833.43082714	591270499.5287524
NKTR	278910416.78615874	468400277.7493066	533140000.3151016	186891874.88180223	111063026.25619815	173399250.0694871	415878749.6644476
NLE1	311309580.06027216	454535333.32670575	489229375.51377887	270326249.8681155	128471845.09941362	190718666.70535302	386886250.12954694
NLN	264198145.09881684	61781724.01306829	113973402.33614123	234365999.96851313	38067300.21675212	2201766667.608258	153540077.922723
NLRC3	93433442.01962048	684666388.4258933	942914375.6774249	39254621.60147864	711731012.3773595	150250357.46334597	1565400000.7972982
NLRC4	26241878.879899886	46536392.73906015	37100802.21314136	394700400.0589931	801822497.1737652	5452810009.122504	45367374.91756383
NLRC5	30506015.57359762	77521827.74169339	67656062.46430084	51066117.64480035	159168695.16085607	33394340.40999994	49423352.20103018
NLRP1	365419833.80749035	812185222.1318749	431208750.3182665	130052625.16515	284490833.53029007	367844333.32660836	274327499.93710524
NLRP2	162453976.2542266	76193610.7598873	82115487.41307144	412751812.46023	412763290.2516561	124608972.81154454	199857625.11410666
NLRP3	114390128.94861196	4708865.227250736	3809148.7295830483	19245330.99790238	122949818.79547094	91821652.89333601	5232255.324133502
NLRX1	124569149.85261868	340227577.83978033	658984375.3969905	189942249.9389095	388141333.2152581	869646667.0553502	1263329998.5980902
NMD3	173581477.64425698	304920385.3148812	353984999.62961686	322204999.70709956	86645393.46968554	156548666.68967202	579351750.543869
NME1	2190239166.7629447	1389627277.402325	1209874207.1452897	2621335000.1484017	2676733333.711396	1936788334.653799	1469968747.9972746
NME1-NME2	19101266678.89426	13411080557.352638	15337968743.280893	32198625025.532814	14768533344.307169	26736750027.69725	15799824999.695438
NME2	19101266678.89426	13411080557.352638	15337968743.280893	32198625025.532814	14768533344.307169	26736750027.69725	15799824999.695438
NME3	81182589.1120414	137349905.07520226	191449541.1535929	112647903.43220285	28012858.779343862	113980464.55900861	147563557.25136247
NME4	54871629.83330525	5060348.851060888	11530183.488720777	80661875.11982863	30527852.57625028	56134141.91702709	6040206.367081669
NME6	66516847.95441568	44469070.755644955	60968124.9801029	23082298.168350615	31415566.084307328	29566254.488809574	49169573.605675705
NME7	152269344.7730554	90761026.64016014	117675250.08551033	93909000.04153736	172058781.38041076	89484808.52388793	96474999.96148635
NME9	5367080.116594193	18490557.86546682	5195069.507394214	5049920.646636421	5933154.455305037	4924271.142432993	3483093.6922585634
NMI	1450371665.640237	818821111.1232915	1016973125.4005647	1181028749.078894	2290575003.0334587	2938858335.6580276	896156250.5207753
NMNAT1	464520055.3263499	373905833.2797124	385624750.1833371	462366250.29093	373976833.4737541	875642500.812314	860391250.7871655
