genes	B cells	T4 cells	T8 cells	DC	Granulocytes	MO	NK cells
ACAT1	238294677.92239738	259837338.83081532	278354513.4991611	185225431.73581338	278187734.22220415	305850897.0098699	184438738.94578877
ACAT2	3023583334.0570283	3702641668.568601	3246837500.3731647	4005387500.3976817	1842961032.416726	2137725002.0181456	3713325001.583205
ACBD3	1812816665.8430822	1036859444.2270824	1190485000.6218061	1428750000.1676745	1029046665.9774715	1961525001.8664484	1206036249.8830385
ACBD4	4388440.866684876	5891386.47743546	3691355.0429489166	6378044.533378789	11135659.643857399	4315384.203197195	6207496.260602814
ACBD5	60199157.925666906	152084632.03903025	194808143.91837656	434857500.117735	232395833.19762945	688847500.086781	288137249.8648794
ACBD6	20342853.34351054	51898956.813875996	63522499.97602533	68887749.99616753	30859195.577950835	35600748.181915335	46123888.48347898
ACD	219797938.17470106	171446165.8718575	219339999.996039	95678625.07785244	117183249.85585578	165989916.82096517	255462499.5426095
ACE	30247651.02015181	33784809.68128938	104872614.39853513	6343297.589106844	20239232.46433313	22733545.064793188	4819883.724750742
ACER3	5979471.260647097	6118261.19130057	4169383.290378376	26516461.706474353	6932405.68114185	27302183.14255619	3670318.9952233452
ACIN1	9714641659.076504	9759541667.333797	9483075006.869396	6831987496.851897	4984616667.00987	6465316672.108715	9514700006.225994
ACKR3	5543453.415011153	5227450.286902967	4646156.337508249	5038934.340867063	8342233.367290211	5856699.2144405665	5130145.926362412
ACLY	12949399998.61747	8150369445.424229	10820487501.274147	17217250012.75963	17642933323.11156	16447083322.157972	8340624996.44128
ACO1	1189845248.5176687	1541323888.5623221	2567581249.8987904	1904624999.8539267	4138019336.403919	2393766667.7224154	2038462502.5167148
ACO2	32577083342.66511	28907055548.64705	38120499996.09631	23788249995.675987	9831341655.906195	27766333346.496136	29458875004.48569
ACOD1	6127408.885722754	6061475.60441386	3283548.894567191	3071345.857598678	6339112.10466326	8280049.129289091	2854083.8700647913
ACOT1	21961489.70025418	69478296.6729319	88612994.38230842	24360061.984966166	6808567.5976696005	17157316.734758843	83067707.59023848
ACOT11	55941957.33760891	10640282.291744841	16169127.125192018	40227223.886891924	629259083.3975856	59316833.34187353	95328054.05333185
ACOT13	538052999.8800377	1023848332.9793898	1551735625.538782	553662500.1982551	368200666.9265604	634426666.4521817	1224851249.4407365
