genes	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells
RNASEL	67355211.59891275	94605330.42690742	87345612.71566404	672279955.5210888	372638773.38183284	366980010.02939904	81603334.41688395
RNASET2	484481415.16018975	1623664231.3726017	802475458.5430495	4730390378.534119	3188162198.933494	578273949.3673834	620881048.6225168
RNF10	23113630.643704027	5462293.755773096	4115246.5825394387	10753646.617587646	36458307.88078087	11895355.878509168	4094778.2541587213
RNF11	4228883.5402895445	7517484.210261375	7278210.093113852	70171650.71439387	15303006.128188496	13399857.591798134	12356328.255459052
RNF113A	200136455.96069276	245529287.49147028	123729498.32056022	100723432.5737419	158980401.58488828	96519089.13132572	362959740.86657953
RNF114	165309315.5139329	113835125.9612032	139774447.5386844	88538973.8009824	93168758.16400081	121670451.16702935	113791958.73933911
RNF115	6079749.16272503	3897368.6238150024	10572041.189376667	1789937.1707969804	6015341.397259217	2733183.9822888067	18358872.04837952
RNF123	29088321.743897025	52194586.085455075	59809233.31192115	52656303.92419353	547218036.6293458	340969824.1783748	33255562.15978402
RNF126	154835084.22986934	123495285.66826896	124402641.49557416	75400375.2384897	169266734.08560592	65942038.27380664	154604367.70003486
RNF13	34427181.405871406	21630807.54124638	111742045.3863757	30390552.500330295	55630288.31707627	40466670.957257986	114214817.08900332
RNF130	124848896.1064482	43475972.8517274	21626852.716812734	45274136.36102972	156096582.27705792	62966761.75788428	50349431.25449758
RNF135	87608394.52294336	45468647.99573653	15809805.322885964	49703075.65441095	44210990.430859536	56979227.910082	48529463.215748906
RNF138	40347952.62855239	23599357.409081336	15543132.782552555	24887057.733940687	4147490.4109723554	7147181.266979826	3146117.102059018
RNF14	69200403.89371279	51229568.13622088	52072650.7897842	77885203.09075147	39992199.34450064	39637383.71958882	77267258.21169907
RNF141	41719450.705463834	35496201.59440901	127576299.80175714	25884303.455376472	19089481.456651613	37266604.461317725	14506980.913009996
RNF144B	1936869.18447556	2661549.354406079	5106693.6654234985	2665542.581598701	27627012.08587584	4447899.48066255	1647048.925816895
RNF146	116042565.21452264	420305286.2251894	267450005.78519768	86535478.79625544	139011913.45347244	184916744.0512803	42902416.60117642
RNF149	5264489.813179395	37477079.863470584	31965384.15021264	39609804.605425335	60376932.59505984	80303890.49915585	28984405.215245705
RNF166	147554714.30761924	28411425.60682332	24189465.15907762	22643815.422980025	24249370.90338558	47886097.58910516	17594916.217159744
RNF167	11152437.834798908	6214763.295760618	12497113.35419964	10437692.640823381	44738275.44232625	7660881.037539273	13493869.945376081
RNF168	2794924.4710518667	70719402.87884077	78588683.28028858	17617106.781347517	62856134.35723147	97373786.47308327	93540201.22230864
RNF169	104490879.98163442	92327310.03569354	115592510.40342247	99951906.8719758	167749613.10538974	83130106.15068695	103572178.4256423
RNF170	453133756.53340876	34097874.63703858	35833736.662295446	70794708.33917144	65379683.928651124	106963694.53854558	57849640.246512786
RNF181	20754486.31052664	53947328.83435518	48445773.39855713	93436975.2496936	94538565.4039361	101346129.21210313	54382664.29930203
RNF185	17941643.43566175	7149718.214500365	4723069.471728039	11794513.411288505	10963804.901570302	4771908.328667327	5585710.031443091
RNF19B	5581064.363657998	242110336.99238428	203054482.40306896	126675472.97872454	25715456.840587392	305767453.9057981	41948931.79278917
RNF2	290018682.98950636	245798946.0375038	164472135.0034309	114137866.08232836	191411710.66212326	162675761.1278538	261002058.8495594
RNF20	523688614.592165	218367710.78241917	281264029.36774963	216412510.25623965	980873915.0264245	340024090.99516976	167607651.0878187
RNF213	87149466.15732649	135451627.73421547	107597808.06753206	102769431.36040768	72037022.66604286	270282094.9088426	159544534.96498138
RNF214	249060953.593706	82722588.62575877	75689916.08179946	79595882.18130092	118296117.01165615	101633484.35080211	46132374.134341046
RNF220	41411895.34517781	35345701.34427158	25066404.77729367	25449750.01283727	53649748.758692324	32325731.54622652	27338117.047686864
RNF25	40482250.283825584	101876464.94894215	46587253.899763025	89801314.32012942	41391596.97527108	59548074.972994275	102442070.38567594
RNF31	383974298.5062884	331220886.9247891	348734398.3226949	147190324.4999381	643285141.4344902	185960262.12364063	170622371.11429712
RNF34	13041173.35265409	17000429.23454565	15778605.514875589	10337853.362186568	33214797.42464531	6462455.354054619	16292342.811760064
RNF40	658069691.3006428	330607237.57890755	213641830.5285534	289255737.269087	511861210.8753695	280631320.0163072	291092174.65206945
RNF41	5384343.725016715	37127887.0537471	7966429.720108844	8894615.380468762	23648871.167717226	2221068.2160266764	14986162.418159187
RNF5	38725601.39549151	11158247.203625875	14168757.214123053	30237584.26325926	46169329.08968317	31049660.375302505	20023197.99988457
RNF6	59806784.44174351	123643942.70332666	85508409.1501685	304209905.844398	116084018.54176363	101508796.51924685	50344780.80908694
RNF7	115436001.45780413	73790628.10160439	99135137.29820125	56211620.322688036	62141675.701658346	80765648.61278358	104465737.82061969
RNFT1	162023151.62345457	194974957.33078128	118059468.94378127	432829460.29006314	49693884.31301455	164348268.44692475	71006662.9381811
RNGTT	148506941.41500598	173972055.12428185	170061777.21070462	213693630.9636651	179264767.571662	114441794.35130309	111090686.19944127
RNH1	4395877164.851753	4068220689.2644334	5796500507.38895	17905074044.01786	4323681508.996973	7014825287.373226	3860029206.1355014
RNMT	363640645.468117	408908270.49755996	420795444.94803315	159851486.17656958	132320864.24387448	260486603.55263257	352464627.85995716
RNPC3	132240976.88694207	65002630.01889867	39922995.77298552	37411679.882089525	80574288.72893363	47770021.02569363	45132808.32922895
RNPEP	1317785689.5724995	913289922.909236	972592182.2762759	3445144300.785338	1781604027.588035	3923293176.0571194	714900723.7397127
RNPEPL1	37530665.60518632	7778574.966816667	10565088.270775326	18433591.74175163	2731546.253024775	7036629.179848548	16882243.627847917
RNPS1	612349666.0502175	1171280097.468599	1340150725.6203544	313524188.57958204	409433538.0271185	682529371.975244	672435073.4299618
RO60	1246560093.6286187	725232204.9818932	1556442492.0376718	596671374.5684967	1646666489.1139781	548323174.9330465	1312374404.532988
ROCK1	1326402732.97663	416369800.5178735	784165825.0130309	358572531.8611934	1988564330.584815	526126793.4788232	514066255.15363806
ROCK2	819416653.4079112	197213660.999256	344688005.20103014	222407923.3748093	645781293.6708223	454933622.21488357	224970626.70268613
ROGDI	3204487.754238959	27779892.301148634	26195469.071835525	74114902.85725953	105218909.35783781	69790015.38808724	26245102.637277216
ROMO1	108332796.055976	100152901.01028675	105217567.4996851	92776030.35057907	74997106.54516932	102684348.72744472	110226573.33654572
RORA	4906566.19913113	63044514.62921453	18836698.33486597	6940993.711691541	29926675.860144336	8989898.490384305	16764721.952056408
RORC	3470615355.621872	46744064.92338815	78632786.73089793	38150892.42558274	179220828.52200887	56768220.194064446	8146875.821561232
RP13-360B22.2	1888386.3483121307	3034919.8925351924	3464793.0018432764	94636792.2314339	3061170051.7146564	74715391.48234805	4684168.747698174
RP2	574378843.3050797	137746837.91372418	157169125.86372608	525476857.38552904	3822116275.7197	2048126497.828908	442413887.92447996
RP9	129829879.63211925	40535623.87690299	46290490.27123938	22124654.685343686	30208791.12038388	36875064.22017578	35797711.295468785
RPA1	3382478482.419807	1607891174.9838374	2379388567.418656	992083500.5040922	4022349626.762956	851261475.0116372	1118491635.0469527
RPA2	2074237923.1617594	994853529.0636977	1299882157.2844982	811862348.4009998	1080954991.6506736	466608273.84403497	957469963.7921053
RPA3	2804174109.857943	1641833418.5849817	2315295500.146715	792605584.4095501	1432418851.4407415	831800592.0359226	1740788649.9226036
RPAIN	45213016.685413845	39687854.52554109	31198889.226831306	16562160.799094718	23368040.182352755	15519501.8152665	30666964.290132467
