gene	B cells	Monocytes	T cells CD4	T cells CD8	NKT cells	Dendritic cells	NK cells	Megakaryocytes
SPON2	6.93634280924337	7.53768316192744	9.1014974406054	29.338272969176	70.8968343641265	5.96735803786873	884.720713835992	27.1721785758559
SPRY2	1	1.3618337932949	1	1.79523898670144	1	2.70052640773399	17.8895205469176	1
SPTSSB	1	1.18010093576844	1.8080149527052	1	10.4524956559024	1.691844263089	35.3878075700919	1
SPX	1.33625098311381	1.52244311116963	1.64744030676632	1	1	1	1	35.5938718465765
SSPN	7.93569180998433	1.16353553357311	1	1	1	1	2.64696891840257	1
SSX2IP	3.37368448156299	2.78852720729652	5.07257414605636	4.7826059586577	14.526544808971	8.24381057886754	18.2115269719339	73.595771711706
ST14	12.2057446232942	16.0421751874994	1.91745440508902	1.7254970530167	3.7876608712875	38.0874820306121	2.54707757046938	5.26803243704652
ST18	1	1	1	1.27592220097621	1	5.03190343391778	1	1
ST3GAL6	2.53203286701506	25.9880372211692	2.74486367034766	1.58214299797673	7.94611590577457	27.4292490692539	1.82216828798253	35.1606654876923
ST6GALNAC1	1.55835851530237	1.1681506804974	7.5842923860909	1.98025005102184	1	1	1	1
STAB1	2.81056379103569	35.2143736918614	3.31874431732598	1.80212148549483	5.30411511339303	5.41557933717359	3.22444666889111	9.53606487409304
STAC3	7.20426977825987	26.3482998320602	3.66678596066416	2.68427669687164	4.57660663420282	29.3495450765261	1	16.823050839256
STAP1	49.6364462166396	1.51490254423218	2.88417182182845	2.05384058526981	3.37888001324018	4.07984808940307	4.25952528648441	6.72385645610302
STAT4	5.01761069677628	4.29456800009613	29.9122137212709	43.3898794290365	67.7593842726651	4.38154456004943	84.7030280893542	22.0905145635349
STK33	5.52024796070739	1	1.10624434116078	1.28789190004623	1	2.38908181691902	1	1
STON2	1	3.46470106502361	1.4860428207806	1.09409504653565	1	2.84448104511343	1.47399520127258	51.5102855336564
STRBP	96.635899890826	6.91958429729958	12.4051362024035	11.8401694477902	13.3067633040643	5.1607125768911	12.5388783045706	18.9527660657842
STX7	241.585900758738	69.1301850907183	19.0688337509256	18.9255463770422	32.5001035222217	81.2873165476251	49.4745962975118	65.9885436862127
SULF2	6.04536078883967	62.3740036727751	5.10182723200565	3.12398567147515	6.01930028209656	69.9681677848915	6.55740048719781	20.3960234799207
SUSD4	1.38281162526727	1.34827542125386	6.36743774597036	1.98670381020819	2.93292664539729	1	1	1
SWAP70	181.937157259166	20.9171727912293	5.90265910689118	6.50601377617991	12.3883652245393	21.0889129819422	16.9367706219039	21.4450800204938
SYBU	5.08315813585271	1.1522434982511	1.38123418148313	1	1	1	1	1
SYNE2	34.7875793298283	9.10583251995046	88.2253668986579	111.831640413004	243.166297228348	6.78903344990495	167.876199556979	36.7752694440066
SYNPO	4.81450137879232	1	1.20807272224872	1	1	1	1	1
SYT17	16.705880826808	2.38374647284871	1	1.60435307675588	1	2.38908181691902	1	1
