NAME	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells
RGS18	13714368.0729006	5642864.9392298	3700116.09526752	94143500.0096039	502730000.910672	185340000.030903	2133492.54239693
RHBDD1	37412159.1613145	50687999.8423669	37012499.9548168	116964999.643702	4893285.22974607	4247145.54596361	12908154.1295446
RIPOR1	61587999.9980694	7914700.01324377	8303750.00981966	507994999.765265	41575000.08814	264135000.25937	16936000.0018505
RMDN3	569244998.363882	928559999.610048	1710649999.66954	1545774998.33358	122611000.212373	804700000.065745	4019100010.19001
RNASE2	3556654.92325432	3600448.70516197	3783131.92646908	11593500.0353936	17107500005.8177	617345001.069341	3154360.78188176
RNASE3	2245823.37047908	2121309.85059436	2653411.36756318	1620755.40226551	6129949991.85238	124779999.780477	3771570.76015699
RNASE6	17685995.9016871	5828029.86646684	11732000.0008878	895270001.75028	8777100.27484001	188275000.108762	90190500.2191196
RNF135	96365000.1177108	4047101.61225686	5325399.71650416	61444499.9587251	20297615.9195045	109795000.105243	4197577.46216335
RNF185	31231999.9919587	3440670.36257186	3344350.00113643	24611000.0544371	10785450.0082155	6850349.9931785	3212699.99810141
RPL26	22671499992.2467	6017499994.6351	4438200012.66176	12009500017.3153	2766799998.72958	4089450009.08815	6719700020.33298
RPL39P5	1772700000.49582	2393599998.63536	2595299996.21459	2717949998.86368	137414999.906833	5553015.76800772	3079649996.49034
RREB1	55964500.0271857	88173000.0922746	49460000.1456562	736049999.883821	60484999.9407832	226419999.733299	72344499.9770318
RUBCNL	75963000.0563133	4079287.95594159	4100592.04263458	49174499.8650679	3186098.77553469	5976944.65223578	3229325.78249899
RUNX2	5109386.45981141	25756190.5417528	17871939.4112259	176955487.069757	13334083.8496543	5109109.75926911	25900565.7577747
S100A12	2384799.99445231	2369200.08469964	1405336.08294834	1332295.00140545	1070870002.36596	749150001.262022	1470505.31805389
SAA4	24044000.0564073	467945000.572091	56016000.0187456	611745001.205338	1577199995.5539	53962500.1314127	25217500.010673
SAMD3	3926931.07751274	4726527.7361924	4228093.07818558	3378484.87443897	4320702.2175525	3833889.88683629	15278499.9992584
SAMHD1	3081249999.17233	95271499804.2906	78315000046.9013	230585000017.295	1573149999.06381	144039999777.747	80390000063.8843
SAMSN1	32025999.9780138	506800000.096811	346379999.908468	219345000.270016	1232699996.51184	475335000.011681	79587500.0963421
SBF2	37975269.6070537	4584320.49405259	3419983.57694008	39277500.0252788	30389009.414616	147045000.112662	15073399.4104805
SBNO2	5427178.3549454	280600000.290874	281530000.069025	6676798.22185822	58503830.5985638	189809999.921633	12273286.0119537
SCIMP	96844500.0215558	4460260.71763674	2523475.28265799	24478499.9447652	4837610.05444205	37907499.9289846	2950417.98512265
SCIN	7600377.84918715	28876000.0046812	19443500.0518263	41391500.0784164	212565000.053862	25770500.0631707	7774578.58203324
SCLT1	93386999.8898433	54466499.9981195	18474791.3853996	6354803.87647836	265809999.591253	76514000.1013189	2846177.56541394
SCML4	8094748.04547263	77217500.0192118	130079999.758014	3941381.03417302	5195313.85401456	6059729.86311277	83964999.9970855
SDSL	9595583.40477826	3163799.54139239	3141664.93376133	152594999.854497	67619999.9709957	85144000.0193412	8189986.69238696
SELENOM	5409873.03057449	149795000.324709	91150500.0715082	3696658.08223585	4840022.13606169	13127075.4525548	12759499.9943493
SELENOP	6177909.39004912	228834999.669156	8043857.77985397	453049999.862366	395284999.763132	384615001.293112	8599050.00352256
SELENOW	7267880.7292031	126585000.012935	119669999.997124	8425960.83817145	9968063.75306251	8032509.01204397	68619499.994999
SELP	7167238.00053628	6021500.0166786	3951262.04403994	2658785.47695838	7807261.83443028	102577500.003279	4177696.90672981
SEMA4A	66106999.9145864	22207500.0619201	55481500.1181681	323400000.393626	384729999.467922	191129999.973103	8773849.98353483
SEMA7A	5277632.00445867	19317000.0575132	15761499.9626684	44716000.0766416	142454999.611051	9089350.00946544	29600000.0210065
SERPINA11	6494065.8642983	4252010.2492651	3739013.55504244	6671405.34462317	99150500.0267894	127635000.139888	3497117.933606
SERPINB10	1223595.00322	844385.000897187	617894.999990768	1914199.99833407	5286699993.74327	17975499986.0005	1741397.43157672
SERPINB8	738595000.515097	853335000.537997	931114999.965291	3828850002.37425	893380001.895095	7281350005.90815	717840000.754254
SETD7	6867812.83474546	6489447.3177766	4575207.99745768	57405999.9532411	5611010.87841868	87509500.0916766	2376350.50107736
SETSIP	1175000001.5629	62340000.121533	33481499.9740762	77811000.0759078	45896000.0484912	19881499.9704296	19146500.0125601
SFXN5	3956387.67827292	7006251.03828916	40122499.9418035	46489500.0850296	17882999.9964678	205854999.820707	54190499.9487218
SGO2	4759190.81591921	6149327.08092895	4085542.77505746	4235229.75489648	13516441.0236328	158135000.271193	50542500.0549648
SGTB	79996500.0027276	1153500001.27439	698899999.320546	93281499.9834516	240589999.805705	685870001.03793	174549999.715869
SH2D1A	57946684.1828953	86208629.5057813	285307260.071173	6999053.68482385	7084391.55446639	10459040.0140363	159528201.959566
SH2D1B	5809251.6373495	3052957.75743286	5397172.86635393	4932002.71210045	12284368.4108884	23904499.9805098	2311649996.28687
SH2D2A	4681738.84530794	292844999.700773	765535000.170825	62183500.0554993	5530240.62359979	17997578.8945172	776779999.180703
SH3BP5L	8888864.66055541	7476631.27824309	6889920.6697118	45697499.9760116	285740000.478524	79176500.0252023	4531049.97307458
SH3KBP1	93716732.6496134	4173717081.35057	4045866616.12173	165053981.179204	212668705.002567	229176580.957062	1547124881.19023
SH3TC1	11143729.2681813	4724046.17489222	19437854.1869024	251480000.051808	332115000.888003	110804999.847952	8400321.92839391
SHTN1	3983250.00494972	4732602.96118375	2724128.22233592	5315400010.14511	5109399.99282649	4223400005.06501	3898590.76214185
SIGLEC10	31806499.9213542	29089500.0093539	6015356.2241792	43729999.8906244	24914499.9376379	1294399999.751	4711581.83270722
SIGLEC14	4921078.14222329	3246089.24421704	2508572.50554428	5305113.13185414	9956575.53072404	50712999.8764177	2917569.7846211
SIGLEC5	5954293.05021244	12401399.8722051	35477500.0352254	75561999.8853599	82751999.9930161	638965000.948029	4150820.35483505
SIGLEC7	4019326.55481147	14839499.9739199	14781115.9752516	64221999.9485611	176269999.800486	733594998.434784	1497250000.36833
SIGLEC9	4062633.27770179	4245050.00208401	5194800.01130904	238041750.078257	13217010.3374816	1794049996.31353	73090500.2031444
SIRPA	3299489.44723485	80341999.829714	27581499.9923411	1882099999.25445	9323349990.32494	2880550001.43066	4344357.03056697
SIRPB1	7321767.33055596	4924631.18254106	3714456.44549248	10655516.3023967	67654457.9145956	113214163.494988	7301035.3985279
SIRPB2	4658170.16498515	4160801.30710019	2912114.11382202	5472978.85195147	10726329.2813853	217185000.153036	4155273.81710732
SIRPG	6801199.86392633	1406250001.22402	585364999.57053	4003100.96635606	89368023.1093946	74507499.9304679	99909499.796202
SIT1	579515000.200276	996565001.679609	812895001.411904	268252999.159349	4628578.70203262	5617619.84678788	22907328.6391773
SKAP1	5122008.90417654	132849138.58299	96404180.1002792	3475620.90586986	12554602.0267366	5057180.7264201	70149888.5445079
SLA2	6201763.4318999	33469000.0844796	33971000.0776021	40911550.1103353	4605936.11233765	5681693.46994032	99159000.2168074
SLAIN1	6363484.30772546	40615500.0601476	57859499.9580394	3813966.56089257	9655309.94190803	5329026.85832606	8294865.33203141
SLAMF1	117159499.748644	214254999.805858	206900000.349174	4040816.21664486	2921540.40712462	14630267.2574641	4907537.56397646
SLC11A1	5607991.29931352	3378441.80533716	3266273.71223911	3472768.18292989	8757471.29504095	330239999.589596	6760450.52558729
SLC12A9	99549999.8580668	55739000.003111	72658999.9146548	897465001.014075	24830500.0608076	1707999998.33453	129139999.579953
SLC15A4	183404999.970007	62135499.9730027	194024999.914474	417834999.888226	419500000.907403	544545001.097356	735654998.894392
SLC25A25	101292000.075909	42195999.9874922	45272999.9322425	38600000.0744596	34082500.0230363	56902500.0625314	26376500.0064123
SLC25A30	5364959.63650539	11793886.0284295	23837999.9352973	116497500.190267	25448999.9998132	30946500.0154045	49077500.0029044
SLC25A35	5422736.99374104	16074499.9707406	14875999.9600958	49823500.0639179	50999499.9596916	166590000.002444	62125500.0316137
SLC27A1	17107149.9947146	154629999.880476	288079999.597639	1177300001.90708	36526999.9242116	1309199999.68712	212920000.302518
SLC27A3	7118630.5213589	12027499.9751011	52250500.0455998	1855560001.36854	568519999.873327	4824350005.44246	292229999.826102
SLC2A5	54687000.1641819	4311040.25367936	3044990.54871483	3283379.79547343	51115000.0816193	5004572.30475049	3788622.39069766
SLC2A6	96668000.0067201	3580369.51810147	4307352.396005	127349999.828082	6640291.46761147	255570000.237792	4255149.95295135
SLC30A1	5561217.83756062	19401000.0571144	48652000.017105	94055499.9192656	9563005.73636792	335415000.487477	53742500.0407764
SLC35F6	265804999.49987	10635999.9996155	21237499.998295	48669000.0059637	51032999.965926	56654000.0252002	41182999.9013923
SLC38A9	5304967.97848506	3742209.50945925	2536516.09504566	87688999.9312604	8469224.00912399	10903550.8445904	2509349.79659952
SLC39A10	10338691.1392696	29798499.9974621	28688499.9545827	144977499.548924	226990000.00895	10683243.2058797	70954499.9725095
SLC8A1	5227647.19774429	4335048.77109366	4590077.90784995	16159312.1006631	4603417.3892896	63675999.9463837	6894248.53454879
SLC9A7	102569000.064664	9926210.84113057	6915821.42520163	150599999.870815	79944499.9552285	24883000.0348753	7320672.77552958
SLCO4C1	17804438.5740356	5132471.93974705	2776294.9913862	16622045.4403808	85890500.0690037	48298999.8722929	5717984.63654734
SLFN11	64755500.1573813	22374000.0098319	40994000.0515375	878584998.468841	52709499.9573388	321534999.701385	25157999.9574872
SLFN13	6666705.54521994	219510000.470639	209745000.353037	319215000.566057	12324592.7526823	444335001.039969	188110000.409407
SLFN5	368435000.321316	17925999995.3672	17853000025.0858	259214999.783142	210095000.094213	1471899998.61372	19001000001.6607
SMCR8	10425999.9994576	15604999.9812273	6664565.30809595	200065000.064906	13957999.9929304	954044997.445091	14395000.0007083
SMPD2	39438499.8917176	4090769.78390874	3472621.25502042	53125499.8591463	4329679.44521762	7757282.14610781	6750999.56940369
SNX16	5089305.27169084	4900631.93607249	3608727.69343609	16746000.0259293	29983499.9777083	5623248.73450697	4746309.68673112
SNX18	894215000.823679	345005000.282181	500910000.636148	4285950005.39363	329894999.923644	1371700000.16914	1352200000.32591
SNX29	1525150003.30723	37390499.983884	62533500.005851	438920000.11574	53196999.8755776	287865000.001317	99416500.0663355
SNX29P2	134324999.787049	3887660.4266612	3408930.42253982	3444818.47927892	4463682.24203368	3967649.55287605	4165431.30693775
SOS2	20148500.0233751	27740999.95665	45850500.0843927	39221999.9909378	157090000.154782	65013500.106431	42529999.9343312
SOWAHD	15533499.9937544	5686845.16736222	4109729.28531965	53538500.0010073	60851999.832587	126919999.938487	5897190.70637065
SOX5	5876364.96042114	5085098.12577915	3443254.32291398	3618164.64360456	8715707.25770213	121784999.889773	4665986.09483829
