gene	B cells	Monocytes	T cells CD4	T cells CD8	NK T cells	Dendritic cells	NK cells	Megakaryocytes
ETS2	3.030536615	31.24370694	9.072519438	8.93965175	6.016193046	53.4050063	6.961550787	39.80561458
EVA1B	1.113730204	7.668172573	2.536000896	2.299069256	6.910415262	13.67652689	6.640383141	32.94499828
EVI5	7.541017747	36.79869179	3.35950165	2.702786644	4.493539506	23.56249189	3.674970129	19.37954842
F13A1	2.238435428	35.08456574	3.233748736	2.898839719	5.204024111	21.87881149	6.957050498	290.3519657
F2R	1.738163015	2.517479908	2.20359104	15.70171656	10.57876742	2.366876563	61.2182654	157.5571671
FABP5	24.52664105	44.8359643	13.13456254	34.9250353	22.90439607	117.3095375	22.26196428	37.59158143
FADS3	33.14247738	3.397885564	4.078934177	4.750042989	6.959863805	4.316525925	6.03068248	2.900472267
FAM102A	17.17405485	6.626387853	63.56176934	57.55134254	46.74032899	5.754743736	9.937987359	5.81816155
PHETA1	7.603893559	5.803277258	1.629791109	2.55304794	2.136039517	15.92791945	1.358531655	3.670341056
FAM110A	16.28989702	64.54531341	17.01060261	22.57665672	22.62381052	36.31122103	27.95206681	186.3843224
FAM111B	15.21529979	1.220048582	1.320335171	1.239870048	4.253996056	1	1	1
NIBAN2	1	10.030609	2.131437972	2.608308182	2.196716211	14.02576472	1	3.029266075
NIBAN3	188.8818316	13.44192645	3.089327442	3.65092493	3.512002674	4.527622436	2.996390526	23.18710075
RETREG1	8.902672905	5.030323215	35.4390319	37.47235933	22.97600493	3.739729312	4.905964315	3.029266075
FAM153B	3.100513749	1.664496141	11.84197508	8.393305742	2.996376252	1	1.533521133	5.207001292
FAM167A	8.070521265	1.285569973	1	1.094095047	1	1	1	1
FAM177B	19.08056689	1	1.25141863	1.250213307	1	1	1	1
TOGARAM2	1.431370468	1.607274386	1.165465224	2.97100409	3.10217774	1	13.37453336	1
GASK1B	3.199885455	74.85438503	4.870687433	2.209390702	3.12315363	14.94318694	5.305475747	25.00640599
FAM20C	1.544769545	7.866050431	1.49025824	1.632831213	1	7.572750093	1	18.57735132
INKA1	11.24261743	1.679696718	1.690396131	1.712081462	1	1	3.024545591	70.9619036
INKA2	2.552731239	5.296326206	1.711254783	1.843947947	2.415812023	1.869009052	4.470889942	48.13023546
CALHM6	171.4769847	128.3419403	14.09235623	7.829184716	11.31404947	94.08045983	29.9580751	71.47020483
FAM43A	24.48817208	8.739369385	5.446139136	6.966125521	42.57994417	21.85208372	82.95216459	13.99722509
MINDY1	3.390014087	4.687935525	5.409396088	3.262003195	1	12.91850091	6.134756162	77.16438547
FAM81B	1	1	1.132730419	1	1	1	1	18.43557555
FASLG	1.888684809	1.569073906	1.680891975	3.94972375	8.870342328	1.660161872	51.7588326	1
FAXDC2	2.758387763	3.60977536	2.225077672	3.744846585	1	4.71267673	1.659420949	40.82494471
FBLN2	4.839148072	1.929795433	1.610246057	8.768283055	2.201305098	22.28336584	5.005736214	2.980590216
FBLN5	1.901946796	1.515178389	12.69136115	12.44099719	5.254901076	1	3.243854476	1
FBLN7	2.513162811	1.570375606	12.92097351	2.268190352	2.497572166	1	1	1
FBP1	5.908054728	40.65817908	11.73103943	7.799549764	10.00956184	66.0438723	21.74585658	26.50270176
FBXL16	1.5157001	1.291557027	8.597058665	6.938022227	2.065071615	1.600163725	1	1
FBXO2	6.324710862	1.398577505	4.639424614	7.914239079	7.470252325	1	14.45761786	1
FBXO6	10.4419824	18.60071084	7.280761379	13.10391469	23.73702888	40.03948625	94.99376426	11.31855003
FCAR	1.876758177	18.24031864	2.052321254	1.426930225	2.257083666	1	1.922282908	5.107214733
FCER1A	9.061848603	21.28959939	5.822487914	7.543659425	43.35339514	1089.697305	2.750417185	48.53584329
FCER1G	72.20102808	1688.425968	94.63381933	71.13612951	108.4447187	1126.645421	1531.177756	797.1692811
FCER2	300.8323145	5.494551972	3.627401943	4.674729073	2.526083825	2.389081817	4.22838147	23.23577661
FCGBP	1.74547048	2.299256128	2.738496605	9.008043203	4.066888978	3.313116448	1	1
FCGR1A	1.940483019	46.91993217	1.909220796	2.032252135	1.982629083	9.969752912	1.822168288	27.00620842
FCGR1B	1.265231809	21.02426551	2.410827654	1.217484586	2.01942591	3.547886965	1.822168288	17.93458566
FCGR2A	6.874662794	79.76294896	5.217413559	2.373138268	12.4063877	31.00863573	9.349367659	47.31064817
FCGR2B	70.82533548	5.657447649	2.547464908	2.148569936	2.529378939	47.22492858	1	15.09176315
